period,quarter,year,short_asset,cash,short_invest,short_receivable,inventory,long_asset,fixed_asset,asset,debt,short_debt,long_debt,equity,capital,other_debt,un_distributed_income,minor_share_holder_profit,payable
2024-Q4,4,2024,37554,2226,23260,6234,5687,17495,12551,55049,18875,9115,158,36174,20900,1149,0.0,3896,18875
2024-Q3,3,2024,40582,2616,25983,5606,6103,17095,11854,57677,22433,8291,158,35244,20900,5257,0.0,3873,22433
2024-Q2,2,2024,37333,1199,23031,6345,6524,16861,12296,54194,15857,7794,183,38337,20900,103,0.0,3991,15857
2024-Q1,1,2024,35014,1788,20268,5869,6781,16640,12472,51654,15786,6617,212,35868,20900,2018,0.0,4013,15786
2023-Q4,4,2023,35936,2912,20137,6530,6128,16737,12690,52673,17648,8218,238,35026,20900,1194,0.0,3329,17648
2023-Q3,3,2023,37680,6876,19012,5931,5698,17287,12056,54967,20964,6874,283,34003,20900,5258,0.0,3347,20964
2023-Q2,2,2023,33403,1583,19083,6142,6320,17565,11821,50969,14309,6128,279,36660,20900,116,0.0,3192,14309
2023-Q1,1,2023,32395,2011,16801,6619,6705,16870,11894,49265,14755,6889,61,34510,20900,126,0.0,3009,14755
2022-Q4,4,2022,31560,2300,17414,6100,5538,16922,11903,48483,15666,4867,66,32817,20900,3056,0.0,2967,15666
2022-Q3,3,2022,34373,2868,19534,5954,5777,16827,11989,51200,17356,9406,72,33844,20900,136,0.0,2703,17356
2022-Q2,2,2022,36871,4507,18976,6040,7096,16971,12266,53842,17022,9701,74,36821,20900,141,0.0,2685,17022
2022-Q1,1,2022,35452,1681,19833,6025,7666,17543,12454,52996,18018,10943,71,34977,20900,124,0.0,2779,18018
2021-Q4,4,2021,36110,2349,21026,5822,6773,17222,12707,53332,17482,9382,76,35850,20900,114,0.0,2767,17482
2021-Q3,3,2021,34447,2052,19753,6118,6381,17621,13058,52068,18193,9038,81,33875,20900,107,0.0,2779,18193
2021-Q2,2,2021,35043,1663,19971,6370,6843,18004,13223,53047,18671,9482,158,34375,20900,135,0.0,2751,18671
2021-Q1,1,2021,32835,1198,19543,5320,6466,18217,13582,51051,17087,9247,162,33964,20900,143,0.0,2632,17087
2020-Q4,4,2020,29666,2111,17314,5187,4905,18767,13854,48432,14785,7316,167,33647,20900,146,0.0,2350,14785
2020-Q3,3,2020,31541,2336,17872,5977,5246,18855,13954,50396,18705,6423,176,31692,20900,3652,0.0,2345,18705
2020-Q2,2,2020,30073,2177,16363,5675,5696,19523,14316,49597,17241,6189,182,32356,17417,2792,0.0,2220,17241
2020-Q1,1,2020,26462,1380,14370,4712,5734,19612,14590,46074,13827,6150,120,32247,17417,184,0.0,2236,13827
2019-Q4,4,2019,24722,2665,12436,4503,4983,19978,14894,44700,14969,5351,123,29731,17417,1956,0.0,2227,14969
2019-Q3,3,2019,22146,1043,10238,5700,4991,17956,13407,40102,12261,4188,94,27841,17417,579,0.0,581,12261
2019-Q2,2,2019,22089,1676,9307,5391,5541,18097,13211,40186,11253,3273,189,28934,17417,573,0.0,594,11253
2019-Q1,1,2019,22040,1209,9667,5521,5354,16265,13091,38305,9382,2126,218,28923,17417,686,0.0,589,9382
2018-Q4,4,2018,20560,1523,8674,4639,5526,16806,13365,37366,11095,1060,216,26271,17417,2540,,490,11095
2018-Q3,3,2018,18360,631,7772,5461,4320,15666,11622,34026,8076,956,246,25950,17417,608,,491,8076
2018-Q2,2,2018,20819,1343,9211,5149,4886,15365,11095,36184,9647,1797,244,26536,14515,567,,491,9647
2018-Q1,1,2018,19975,563,9662,5176,4373,15354,10566,35329,9038,1560,270,26291,14515,585,,480,9038
2017-Q4,4,2017,20307,963,10562,4592,4021,14360,10609,34667,10794,268,275,23873,14515,2784,,498,10794
