time,open,high,low,close,volume
2025-03-03,140.5,141.4,140.3,140.5,2533900
2025-03-04,139.5,140.6,139.3,140.0,3471300
2025-03-05,140.0,140.1,139.1,139.1,2851100
2025-03-06,139.5,143.5,139.5,141.6,6417100
2025-03-07,141.7,142.7,141.1,141.4,2954500
2025-03-10,141.5,141.5,139.2,139.3,5323000
2025-03-11,138.0,138.5,137.0,137.5,5784400
2025-03-12,137.7,138.7,135.9,135.9,6185000
2025-03-13,136.1,138.0,136.1,136.5,3610200
2025-03-14,135.6,136.3,130.8,131.4,16094000
2025-03-17,131.6,132.1,129.6,130.0,6707000
2025-03-18,130.1,132.2,130.0,130.0,5508500
2025-03-19,130.1,130.6,123.5,124.6,18128400
2025-03-20,124.6,126.8,124.5,125.0,8203400
